ID_FISCALIZACAO_ELETRONICA;DESC_LOC_CONTROLADOR_TRANSITO;DESC_TIPO_CONTROLADOR_TRANSITO;VELOCIDADE_REGULAMENTAR;SENTIDO;SENTIDO_FISCALIZADO;NUM_SERIE_ATUAL;COD_SECUNDARIA;GEOMETRIA;;
190;Av. do Contorno esquina com R. do Ouro;Detector de Avanço de Semáforo;60;Serra-Santa EfigÃªnia;único;594;;POINT (612594.45 7795675.54);;
191;Av. José Cândido da Silveira, 1200 e oposto ao 1200;Detector de Avanço de Semáforo;60;Bairro-Centro e Centro-Bairro;Ambos;572;;POINT (613207.77 7800565.53);;
286;Av. Cristiano Machado, 1320;Controlador Eletrônico de Velocidade;60;Centro-Bairro;único;8960;;POINT (612226.11 7799323.79);;
287;Av. Cristiano Machado, oposto ao 4001;Controlador Eletrônico de Velocidade;60;Centro-Bairro;único;8964;;POINT (612168.80 7801786.54);;
288;Av. Dom Pedro I, 2062;Controlador Eletrônico de Velocidade;60;Centro-Bairro;único;8971;;POINT (608882.35 7807184.98);;
361;Av. Amazonas esquina com R. Pedra Bonita;Detector de Avanço de Semáforo;60;Centro-Bairro;único;3014;241705001;POINT (608334.29 7795814.90);;
362;Av. Amazonas esquina com R. Pedra Bonita;Detector de Avanço de Semáforo;60;Centro-Bairro;único;3015;122420160;POINT (608332.71 7795820.34);;
363;Av. Amazonas esquina com R. Pedra Bonita;Detector de Avanço de Semáforo;60;Centro-Bairro;único;3015;122420160;POINT (608338.95 7795821.55);;
364;Av. Amazonas esquina com R. Pedra Bonita;Detector de Avanço de Semáforo;60;Centro-Bairro;único;3014;241705001;POINT (608340.51 7795816.01);;
365;Av. Carandaí­ esquina com Av. Afonso Pena;Detector de Avanço de Semáforo;60;Santa EfigÃªnia-Centro;único;1676;;POINT (611612.36 7796246.90);;
366;Av. Carandaí­ esquina com Av. Afonso Pena;Detector de Avanço de Semáforo;60;Santa EfigÃªnia-Centro;único;1676;;POINT (611601.86 7796269.90);;
367;Av. Dom Pedro II esquina com R. Antônio Peixoto Guimarães;Detector de Avanço de Semáforo;60;Centro-Bairro;único;1045;;POINT (607386.20 7797866.64);;
368;Av. Nossa Senhora do Carmo esquina com Praça da Harmonia (Pista Externa);Detector de Avanço de Semáforo;60;Centro-Bairro;único;1362;;POINT (611417.34 7794014.93);;
369;Av. Nossa Senhora do Carmo esquina com Praça da Harmonia (Pista Interna);Detector de Avanço de Semáforo;60;Centro-Bairro;único;1369;;POINT (611421.72 7794013.26);;
370;R. Edgard Torres esquina com Av. Vilarinho;Detector de Avanço de Semáforo;60;Minas Caixa-Venda Nova;único;1407;;POINT (609040.98 7808941.73);;
321;Av. Nossa Senhora do Carmo, 1448;Detector de Avanço de Semáforo;60;Centro-Bairro;único;3001;122420148;POINT (611081.63 7793436.20);;
322;Av. Nossa Senhora do Carmo, 1448;Detector de Avanço de Semáforo;60;Centro-Bairro;único;3002;122420150;POINT (611085.27 7793433.21);;
323;Av. Nossa Senhora do Carmo, 1448;Detector de Trânsito em Local Proibido;60;Centro-Bairro;único;3002;122420150;POINT (611084.45 7793439.46);;
324;Av. Nossa Senhora do Carmo, 1448;Detector de Trânsito em Local Proibido;60;Centro-Bairro;único;3001;122420148;POINT (611087.85 7793436.80);;
325;Av. Raja Gabaglia, 1710;Detector de Avanço de Semáforo;60;Centro-Bairro;único;3003;122420151;POINT (608687.75 7793763.72);;
326;Av. Raja Gabaglia, 1710;Detector de Trânsito em Local Proibido;60;Centro-Bairro;único;3003;122420151;POINT (608691.10 7793763.18);;
327;Av. Raja Gabaglia, 1799;Detector de Trânsito em Local Proibido;60;Bairro-Centro;único;3004;122420149;POINT (608702.60 7793752.58);;
328;Av. Raja Gabaglia, 1799;Detector de Avanço de Semáforo;60;Bairro-Centro;único;3004;122420149;POINT (608699.24 7793753.13);;
329;Av. Dom Pedro II esquina com R. Espinosa;Detector de Avanço de Semáforo;60;Centro-Bairro;único;3005;122420173;POINT (608994.09 7798318.40);;
330;Av. Dom Pedro II esquina com R. Espinosa;Detector de Avanço de Semáforo;60;Centro-Bairro;único;3006;122420170;POINT (608995.76 7798322.05);;
331;Av. Dom Pedro II esquina com R. Espinosa;Detector de Trânsito em Local Proibido;60;Centro-Bairro;único;3006;122420170;POINT (609000.13 7798319.43);;
332;Av. Dom Pedro II esquina com R. Espinosa;Detector de Trânsito em Local Proibido;60;Centro-Bairro;único;3005;122420173;POINT (608998.10 7798315.90);;
333;Av. Dom Pedro II esquina com R. Espinosa;Detector de Trânsito em Local Proibido;60;Bairro-Centro;único;3007;122420169;POINT (608976.84 7798316.03);;
334;Av. Dom Pedro II esquina com R. Espinosa;Detector de Avanço de Semáforo;60;Bairro-Centro;único;3007;122420169;POINT (608980.36 7798314.21);;
335;Av. Dom Pedro II esquina com R. Espinosa;Detector de Trânsito em Local Proibido;60;Bairro-Centro;único;3008;405405038;POINT (608975.23 7798312.95);;
336;Av. Dom Pedro II esquina com R. Espinosa;Detector de Avanço de Semáforo;60;Bairro-Centro;único;3008;405405038;POINT (608978.69 7798310.87);;
337;Av. Presidente Antônio Carlos, 1089;Detector de Avanço de Semáforo;60;Bairro-Centro;único;3009;122420146;POINT (610340.94 7799109.30);;
338;Av. Presidente Antônio Carlos, 1089;Detector de Avanço de Semáforo;60;Bairro-Centro;único;3010;122420157;POINT (610344.76 7799111.69);;
339;Av. Presidente Antônio Carlos, 1089;Detector de Trânsito em Local Proibido;60;Bairro-Centro;único;3010;122420157;POINT (610342.25 7799116.00);;
340;Av. Presidente Antônio Carlos, 1089;Detector de Trânsito em Local Proibido;60;Bairro-Centro;único;3009;122420146;POINT (610336.90 7799113.08);;
341;Av. Presidente Antônio Carlos, oposto ao 1089;Detector de Trânsito em Local Proibido;60;Centro-Bairro;único;3012;122420158;POINT (610370.21 7799119.58);;
342;Av. Presidente Antônio Carlos, oposto ao 1089;Detector de Avanço de Semáforo;60;Centro-Bairro;único;3012;122420158;POINT (610366.95 7799127.39);;
343;Av. Presidente Antônio Carlos, oposto ao 1089;Detector de Trânsito em Local Proibido;60;Centro-Bairro;único;3011;405405038;POINT (610375.82 7799124.11);;
344;Av. Presidente Antônio Carlos, oposto ao 1089;Detector de Avanço de Semáforo;60;Centro-Bairro;único;3011;393205018;POINT (610372.56 7799130.84);;
345;Av. do Contorno esquina com Av. Afonso Pena;Detector de Avanço de Semáforo;60;FuncionÃ¡rios-Savassi;único;3018;122420156;POINT (612377.81 7794939.59);;
346;Av. do Contorno esquina com Av. Afonso Pena;Detector de Avanço de Semáforo;60;Funcionarios-Savassi;único;3019;405405037;POINT (612380.52 7794936.15);;
347;Av. do Contorno esquina com Av. Afonso Pena;Detector de Trânsito em Local Proibido;60;FuncionÃ¡rios-Savassi;único;3018;122420156;POINT (612380.93 7794942.46);;
348;Av. do Contorno esquina com Av. Afonso Pena;Detector de Trânsito em Local Proibido;60;FuncionÃ¡rios-Savassi;único;3019;405405037;POINT (612384.02 7794939.16);;
349;Av. Amazonas esquina com R. Pedra Bonita;Detector de Avanço de Semáforo;60;Bairro-Centro;único;3016;122420159;POINT (608319.97 7795804.76);;
350;Av. Amazonas esquina com R. Pedra Bonita;Detector de Avanço de Semáforo;60;Bairro-Centro;único;3017;122420161;POINT (608321.44 7795800.58);;
351;Av. Amazonas esquina com R. Pedra Bonita;Detector de Trânsito em Local Proibido;60;Bairro-Centro;único;3017;122420161;POINT (608313.91 7795797.65);;
352;Av. Amazonas esquina com R. Pedra Bonita;Detector de Trânsito em Local Proibido;60;Bairro-Centro;único;3016;122420159;POINT (608312.63 7795803.22);;
81;Av. Presidente Antônio Carlos, 1089;Controlador Eletrônico de Velocidade;60;Bairro-Centro;único;3261;;POINT (610374.86 7799051.63);;
83;Av. Presidente Antônio Carlos, 2674;Controlador Eletrônico de Velocidade;60;Centro-Bairro;único;3260;;POINT (609870.92 7800552.18);;
84;Av. Presidente Antônio Carlos oposto ao 2862;Controlador Eletrônico de Velocidade;60;Bairro-Centro;único;3259;;POINT (609788.03 7800617.79);;
87;Av. Presidente Carlos Luz, 1525 e oposto ao 1525;Controlador Eletrônico de Velocidade;60;Bairro-Centro e Centro-Bairro;Ambos;3312;;POINT (608385.11 7800044.84);;
88;Av. Presidente Carlos Luz, 2754 e oposto ao 2754;Controlador Eletrônico de Velocidade;60;Bairro-Centro e Centro-Bairro;Ambos;3256;;POINT (608088.99 7800478.67);;
89;Av. Presidente Tancredo Neves a 116 metros da R. Flor Branca;Controlador Eletrônico de Velocidade;60;Centro-Bairro;único;3311;;POINT (605646.17 7799075.08);;
